mean_loss,mean_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-6.3180923e-06,0.5,0.0910642147064209,False,,,57,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-52,1623178912,7.444647550582886,164835,timo-ThinkPad-P1,192.168.0.13,7.444647550582886,0,57,942ba_00143
-9.298325e-06,0.5,0.07815074920654297,False,,,58,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-52,1623178912,7.522798299789429,164835,timo-ThinkPad-P1,192.168.0.13,7.522798299789429,0,58,942ba_00143
-7.2717667e-06,0.5,0.07950758934020996,False,,,59,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-53,1623178913,7.602305889129639,164835,timo-ThinkPad-P1,192.168.0.13,7.602305889129639,0,59,942ba_00143
-1.0609627e-05,0.5,0.08630871772766113,False,,,60,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-53,1623178913,7.6886146068573,164835,timo-ThinkPad-P1,192.168.0.13,7.6886146068573,0,60,942ba_00143
-1.001358e-05,0.5,0.08642435073852539,False,,,61,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-53,1623178913,7.775038957595825,164835,timo-ThinkPad-P1,192.168.0.13,7.775038957595825,0,61,942ba_00143
-1.7046928e-05,0.5,0.2690281867980957,False,,,62,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-53,1623178913,8.044067144393921,164835,timo-ThinkPad-P1,192.168.0.13,8.044067144393921,0,62,942ba_00143
-1.8954277e-05,0.5,0.13359475135803223,False,,,63,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-53,1623178913,8.177661895751953,164835,timo-ThinkPad-P1,192.168.0.13,8.177661895751953,0,63,942ba_00143
-1.2993813e-05,0.5,0.13257622718811035,False,,,64,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-53,1623178913,8.310238122940063,164835,timo-ThinkPad-P1,192.168.0.13,8.310238122940063,0,64,942ba_00143
-2.503395e-05,0.5,0.0753471851348877,False,,,65,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-53,1623178913,8.385585308074951,164835,timo-ThinkPad-P1,192.168.0.13,8.385585308074951,0,65,942ba_00143
-1.2040138e-05,0.5,0.0891413688659668,False,,,66,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-53,1623178913,8.474726676940918,164835,timo-ThinkPad-P1,192.168.0.13,8.474726676940918,0,66,942ba_00143
-1.6093254e-05,0.5,0.08950567245483398,False,,,67,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-53,1623178913,8.564232349395752,164835,timo-ThinkPad-P1,192.168.0.13,8.564232349395752,0,67,942ba_00143
-4.3988228e-05,0.5,0.09060263633728027,False,,,68,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-54,1623178914,8.654834985733032,164835,timo-ThinkPad-P1,192.168.0.13,8.654834985733032,0,68,942ba_00143
-2.360344e-05,0.5,0.08394455909729004,False,,,69,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-54,1623178914,8.738779544830322,164835,timo-ThinkPad-P1,192.168.0.13,8.738779544830322,0,69,942ba_00143
-4.184246e-05,0.5,0.1237034797668457,False,,,70,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-54,1623178914,8.862483024597168,164835,timo-ThinkPad-P1,192.168.0.13,8.862483024597168,0,70,942ba_00143
-2.9921532e-05,0.5,0.11492800712585449,False,,,71,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-54,1623178914,8.977411031723022,164835,timo-ThinkPad-P1,192.168.0.13,8.977411031723022,0,71,942ba_00143
-3.1352043e-05,0.5,0.21114158630371094,False,,,72,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-54,1623178914,9.188552618026733,164835,timo-ThinkPad-P1,192.168.0.13,9.188552618026733,0,72,942ba_00143
-5.173683e-05,0.5,0.09316611289978027,False,,,73,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-54,1623178914,9.281718730926514,164835,timo-ThinkPad-P1,192.168.0.13,9.281718730926514,0,73,942ba_00143
-3.0755997e-05,0.5,0.0828099250793457,False,,,74,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-54,1623178914,9.36452865600586,164835,timo-ThinkPad-P1,192.168.0.13,9.36452865600586,0,74,942ba_00143
-4.708767e-05,0.5,0.09271717071533203,False,,,75,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-54,1623178914,9.457245826721191,164835,timo-ThinkPad-P1,192.168.0.13,9.457245826721191,0,75,942ba_00143
-7.18832e-05,0.5,0.09192514419555664,False,,,76,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-54,1623178914,9.549170970916748,164835,timo-ThinkPad-P1,192.168.0.13,9.549170970916748,0,76,942ba_00143
-7.390976e-05,0.5,0.08209609985351562,False,,,77,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-55,1623178915,9.631267070770264,164835,timo-ThinkPad-P1,192.168.0.13,9.631267070770264,0,77,942ba_00143
-7.9870224e-05,0.5,0.11433053016662598,False,,,78,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-55,1623178915,9.74559760093689,164835,timo-ThinkPad-P1,192.168.0.13,9.74559760093689,0,78,942ba_00143
-6.389618e-05,0.5,0.08437347412109375,False,,,79,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-55,1623178915,9.829971075057983,164835,timo-ThinkPad-P1,192.168.0.13,9.829971075057983,0,79,942ba_00143
-6.520748e-05,0.5,0.0746455192565918,False,,,80,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-55,1623178915,9.904616594314575,164835,timo-ThinkPad-P1,192.168.0.13,9.904616594314575,0,80,942ba_00143
-6.067753e-05,0.5,0.07040619850158691,False,,,81,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-55,1623178915,9.975022792816162,164835,timo-ThinkPad-P1,192.168.0.13,9.975022792816162,0,81,942ba_00143
-0.000119805336,0.5,0.08672690391540527,False,,,82,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-55,1623178915,10.061749696731567,164835,timo-ThinkPad-P1,192.168.0.13,10.061749696731567,0,82,942ba_00143
-9.572506e-05,0.5,0.16625761985778809,False,,,83,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-55,1623178915,10.228007316589355,164835,timo-ThinkPad-P1,192.168.0.13,10.228007316589355,0,83,942ba_00143
-0.000103354454,0.5,0.0861663818359375,False,,,84,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-55,1623178915,10.314173698425293,164835,timo-ThinkPad-P1,192.168.0.13,10.314173698425293,0,84,942ba_00143
-0.00014996529,0.5,0.08070969581604004,False,,,85,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-55,1623178915,10.394883394241333,164835,timo-ThinkPad-P1,192.168.0.13,10.394883394241333,0,85,942ba_00143
-0.00010693073,0.5,0.07989072799682617,False,,,86,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-55,1623178915,10.47477412223816,164835,timo-ThinkPad-P1,192.168.0.13,10.47477412223816,0,86,942ba_00143
-0.00014030933,0.5,0.15757083892822266,False,,,87,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-56,1623178916,10.632344961166382,164835,timo-ThinkPad-P1,192.168.0.13,10.632344961166382,0,87,942ba_00143
-0.00015747547,0.5,0.09643054008483887,False,,,88,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-56,1623178916,10.72877550125122,164835,timo-ThinkPad-P1,192.168.0.13,10.72877550125122,0,88,942ba_00143
-0.0001487732,0.5,0.09818053245544434,False,,,89,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-56,1623178916,10.826956033706665,164835,timo-ThinkPad-P1,192.168.0.13,10.826956033706665,0,89,942ba_00143
-0.00016629696,0.5,0.09980559349060059,False,,,90,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-56,1623178916,10.926761627197266,164835,timo-ThinkPad-P1,192.168.0.13,10.926761627197266,0,90,942ba_00143
-0.00021064281,0.5,0.08976912498474121,False,,,91,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-56,1623178916,11.016530752182007,164835,timo-ThinkPad-P1,192.168.0.13,11.016530752182007,0,91,942ba_00143
-0.00020706654,0.5,0.07960247993469238,False,,,92,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-56,1623178916,11.0961332321167,164835,timo-ThinkPad-P1,192.168.0.13,11.0961332321167,0,92,942ba_00143
-0.00028836727,0.5,0.07630395889282227,False,,,93,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-56,1623178916,11.172437191009521,164835,timo-ThinkPad-P1,192.168.0.13,11.172437191009521,0,93,942ba_00143
-0.00026524067,0.5,0.20041489601135254,False,,,94,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-56,1623178916,11.372852087020874,164835,timo-ThinkPad-P1,192.168.0.13,11.372852087020874,0,94,942ba_00143
-0.00035333633,0.5,0.09994387626647949,False,,,95,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-56,1623178916,11.472795963287354,164835,timo-ThinkPad-P1,192.168.0.13,11.472795963287354,0,95,942ba_00143
-0.00031614304,0.5,0.16922402381896973,False,,,96,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-57,1623178917,11.642019987106323,164835,timo-ThinkPad-P1,192.168.0.13,11.642019987106323,0,96,942ba_00143
-0.00036251545,0.5,0.08381295204162598,False,,,97,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-57,1623178917,11.72583293914795,164835,timo-ThinkPad-P1,192.168.0.13,11.72583293914795,0,97,942ba_00143
-0.00040125847,0.5,0.08547687530517578,False,,,98,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-57,1623178917,11.811309814453125,164835,timo-ThinkPad-P1,192.168.0.13,11.811309814453125,0,98,942ba_00143
-0.00049233437,0.5,0.08735203742980957,False,,,99,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-57,1623178917,11.898661851882935,164835,timo-ThinkPad-P1,192.168.0.13,11.898661851882935,0,99,942ba_00143
-0.00050628185,0.5,0.07335996627807617,False,,,100,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-57,1623178917,11.97202181816101,164835,timo-ThinkPad-P1,192.168.0.13,11.97202181816101,0,100,942ba_00143
